0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,5,5,5,6,7,8,8,10,10,13,13,14,15,14,13,14,12,9,8,7,6,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,6,5,6,7,8,8,9,9,9,9,8,8,8,8,7,7,8,7,7,7,7,7,8,10,12,14,16,22,27,29,30,33,35,37,38,37,33,31,27,25,22,18,17,17,14,15,15,16,24,32,40,48,49,53,56,62,61,54,46,38,32,30,30,33,36,44,46,50,54,55,50,50,45,41,33,28,21,18,16,16,17,19,21,30,37,40,45,51,60,65,71,76,71,72,71,74,71
3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,4,5,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,5,6,5,6,6,7,8,9,10,11,10,11,10,9,7,8,6,6,5,5,5,5,5,5,4,5,5,4,5,5,5,6,5,6,6,7,6,7,7,8,8,8,9,9,9,9,9,8,8,9,8,7,7,7,7,8,7,9,10,11,14,16,18,22,24,26,29,31,31,28,27,25,23,20,18,16,16,14,15,13,15,18,27,34,43,51,52,57,59,64,66,58,48,42,36,33,35,39,42,45,48,56,60,58,53,54,51,44,35,29,23,19,17,16,16,17,21,24,30,35,39,46,54,60,62,66,66,66,68,67,68
2,3,2,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,5,6,6,5,6,6,7,7,8,7,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,6,6,6,7,8,8,8,9,8,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,8,8,9,11,13,14,16,18,20,23,26,24,24,21,22,20,16,14,14,14,13,13,14,16,22,29,36,47,56,56,59,64,67,66,60,54,48,42,38,37,44,45,50,54,61,60,57,56,59,57,44,37,30,23,18,16,14,15,16,18,21,26,30,36,42,47,51,55,54,59,60,63,62,62
3,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,3,4,5,4,4,3,3,3,3,4,4,3,4,3,4,3,3,3,4,4,3,3,3,3,4,4,4,3,4,4,5,5,5,5,6,6,5,6,5,5,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,8,8,9,9,10,11,11,11,12,12,10,9,10,9,8,8,7,7,8,7,7,8,8,10,10,12,12,13,16,18,19,18,19,19,17,15,13,12,11,13,13,13,14,17,24,33,39,51,56,58,61,67,70,71,61,55,51,44,44,43,46,51,55,60,60,60,59,59,61,56,46,40,32,23,18,16,14,13,15,16,19,21,27,31,36,40,45,46,52,55,57,56,55,51
3,3,3,2,3,2,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,5,6,6,6,6,7,8,9,9,9,10,10,10,11,13,12,14,14,14,12,12,10,9,10,8,8,7,7,7,7,8,7,7,9,10,10,11,12,13,14,14,14,15,15,13,12,12,12,12,12,13,15,19,27,35,46,54,59,62,64,68,70,72,69,61,53,50,47,46,55,62,66,65,64,61,62,58,58,50,43,39,32,22,18,15,14,13,15,14,17,19,21,27,29,33,35,39,43,46,47,48,47,46
3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,4,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,5,5,6,6,5,6,7,7,8,8,9,10,11,11,11,12,13,14,16,18,18,16,15,13,12,11,10,9,9,8,7,7,8,7,7,7,8,8,9,9,10,10,11,12,12,13,12,11,11,11,11,11,13,13,17,21,29,39,46,51,59,67,68,67,72,76,75,68,62,57,53,58,64,67,77,72,64,59,58,53,50,44,39,37,32,22,19,16,14,14,12,13,14,16,17,21,22,24,27,30,34,36,35,37,37,37
3,3,2,2,3,2,3,3,2,2,2,3,3,3,2,3,2,2,3,2,2,2,2,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,2,3,2,3,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,4,4,5,4,4,4,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,9,9,10,11,12,13,13,14,15,16,17,20,22,20,19,17,15,14,12,11,10,9,8,8,7,8,7,7,7,7,7,8,8,8,9,9,9,10,10,10,9,9,10,10,11,12,13,15,20,27,38,47,49,59,65,70,70,77,78,75,66,61,60,62,69,70,76,74,75,69,67,61,54,47,41,36,31,26,21,18,14,14,13,12,13,13,14,15,16,19,20,22,23,24,26,27,27,27,28
3,2,3,2,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,3,3,2,3,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,6,5,6,7,7,8,9,10,11,13,14,15,16,16,17,18,21,23,23,25,23,22,18,15,15,12,11,9,8,8,8,7,6,7,6,7,6,7,7,8,7,7,8,8,8,9,8,8,9,9,10,10,12,16,17,26,34,41,50,58,63,64,68,72,73,73,67,61,64,70,75,75,75,75,73,68,64,61,54,46,37,34,29,24,19,17,15,14,12,12,12,12,13,14,15,16,16,18,18,19,18,21,20,21,20
3,3,2,2,3,2,2,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,8,9,11,12,14,16,17,19,19,20,20,22,25,25,27,29,25,22,20,19,17,14,13,10,10,9,8,8,7,6,6,7,7,6,6,7,7,8,7,8,7,7,8,8,9,9,9,11,11,12,16,22,31,39,51,57,60,64,67,66,63,66,67,65,66,70,68,67,71,74,66,61,58,58,51,45,40,34,26,23,20,17,15,13,13,12,11,11,12,14,13,15,15,15,16,16,17,17,17,17,17
3,3,2,3,3,2,3,3,2,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,5,4,4,4,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,6,5,5,6,6,7,7,9,10,12,14,16,18,20,21,23,24,24,26,26,30,31,30,27,26,24,22,18,17,15,13,12,9,9,8,8,7,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,9,9,10,11,13,15,22,30,39,49,55,59,62,64,63,64,67,69,66,63,63,60,59,64,65,61,58,54,50,46,44,38,29,26,22,20,18,14,14,13,12,11,11,12,13,13,14,15,14,15,14,16,14,16,15,15
2,3,2,2,3,2,2,2,3,2,3,3,2,3,2,3,2,2,2,3,3,3,3,2,2,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,6,5,6,5,6,5,5,5,5,5,5,5,6,5,6,6,6,7,7,8,9,11,13,15,18,21,23,24,26,27,26,28,30,31,32,33,33,30,29,24,22,20,17,14,11,11,9,8,8,7,7,7,6,6,6,6,6,6,6,7,6,7,7,7,7,8,9,10,12,12,16,21,30,37,43,54,59,58,60,63,66,66,64,66,68,63,57,55,58,55,58,56,51,47,44,41,33,29,25,22,19,18,14,14,13,13,13,13,13,14,16,14,15,14,15,14,13,13,13,13,13
2,3,2,2,2,3,3,3,3,3,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,5,5,5,6,5,5,6,8,7,9,10,12,15,18,21,24,26,28,29,29,30,30,32,36,37,38,37,34,31,26,24,20,18,16,14,11,9,9,8,7,7,7,6,6,6,7,6,6,6,6,6,6,7,7,8,9,9,9,11,12,15,18,28,36,44,50,55,57,62,66,63,61,61,66,68,65,58,55,56,54,53,51,47,47,45,37,32,26,24,22,20,18,16,15,13,13,13,14,17,18,20,21,19,16,17,14,15,14,14,14,11
3,2,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,6,7,6,6,7,6,6,6,7,6,6,5,5,5,6,6,6,6,7,7,7,8,9,10,12,14,20,23,25,29,30,32,33,33,33,36,39,40,41,37,38,37,30,27,24,22,18,14,13,10,9,8,7,6,6,6,6,6,6,6,8,7,7,6,7,8,7,7,8,8,9,9,12,12,17,24,38,44,48,51,54,57,57,57,59,62,64,68,64,60,57,55,52,48,46,44,43,40,36,32,29,25,23,18,19,17,16,14,14,14,15,22,24,25,26,26,22,18,16,16,15,15,13,13
3,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,3,3,2,3,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,5,4,5,5,6,6,6,7,6,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,8,9,11,13,16,20,23,26,28,31,33,36,34,37,39,41,43,43,40,40,40,36,30,28,23,20,17,13,11,10,9,8,7,7,6,7,6,6,6,7,6,7,7,6,7,8,8,8,8,9,10,11,12,14,20,32,40,44,47,51,55,53,57,58,62,64,64,66,62,58,54,51,46,43,39,39,39,35,30,28,26,23,21,19,17,17,16,16,16,18,22,26,28,31,31,27,24,21,19,16,16,14,15
3,3,3,3,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,5,4,6,7,7,7,8,8,8,9,8,8,8,9,8,7,7,6,7,6,6,6,6,6,6,7,6,6,7,7,9,11,14,18,22,24,25,29,32,35,37,40,41,41,43,45,45,48,45,43,40,35,29,26,22,18,15,12,10,8,7,7,7,7,7,6,7,7,6,7,6,7,7,7,8,8,8,8,9,9,11,13,13,17,27,34,43,47,52,55,56,59,61,59,62,62,63,62,57,54,49,44,40,42,39,37,34,33,28,26,22,21,20,19,17,17,18,19,22,26,29,32,32,35,34,30,30,24,21,18,17,16
