R, G, B
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
6,6,6
7,7,7
7,7,7
8,8,8
10,10,10
14,14,14
20,20,20
21,21,21
18,18,18
14,14,14
11,11,11
11,11,11
8,8,8
8,8,8
7,7,7
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
11,11,11
14,14,14
18,18,18
20,20,20
21,21,21
25,25,25
25,25,25
25,25,25
23,23,23
21,21,21
19,19,19
19,19,19
19,19,19
20,20,20
19,19,19
17,17,17
12,12,12
9,9,9
7,7,7
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
6,6,6
5,5,5
5,5,5
5,5,5
7,7,7
7,7,7
9,9,9
11,11,11
16,16,16
21,21,21
25,25,25
26,26,26
21,21,21
20,20,20
19,19,19
17,17,17
16,16,16
15,15,15
15,15,15
15,15,15
14,14,14
13,13,13
12,12,12
9,9,9
9,9,9
9,9,9
8,8,8
10,10,10
11,11,11
12,12,12
15,15,15
19,19,19
25,25,25
29,29,29
38,38,38
42,42,42
49,49,49
53,53,53
60,60,60
71,71,71
74,74,74
80,80,80
92,92,92
104,104,104
121,121,121
138,138,138
142,142,142
118,118,118
97,97,97
79,79,79
58,58,58
39,39,39
28,28,28
22,22,22
17,17,17
15,15,15
14,14,14
11,11,11
11,11,11
11,11,11
10,10,10
12,12,12
12,12,12
13,13,13
13,13,13
14,14,14
13,13,13
13,13,13
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
15,15,15
16,16,16
15,15,15
15,15,15
13,13,13
13,13,13
13,13,13
12,12,12
12,12,12
12,12,12
12,12,12
11,11,11
12,12,12
12,12,12
13,13,13
14,14,14
17,17,17
18,18,18
22,22,22
27,27,27
33,33,33
39,39,39
45,45,45
53,53,53
66,66,66
79,79,79
90,90,90
93,93,93
99,99,99
104,104,104
108,108,108
109,109,109
99,99,99
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
9,9,9
13,13,13
17,17,17
16,16,16
13,13,13
11,11,11
10,10,10
8,8,8
7,7,7
7,7,7
5,5,5
6,6,6
6,6,6
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
6,6,6
5,5,5
6,6,6
8,8,8
9,9,9
11,11,11
14,14,14
18,18,18
21,21,21
21,21,21
25,25,25
25,25,25
25,25,25
24,24,24
24,24,24
23,23,23
21,21,21
20,20,20
19,19,19
18,18,18
16,16,16
12,12,12
8,8,8
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
8,8,8
8,8,8
10,10,10
12,12,12
16,16,16
18,18,18
15,15,15
14,14,14
14,14,14
14,14,14
13,13,13
13,13,13
15,15,15
14,14,14
13,13,13
11,11,11
10,10,10
9,9,9
8,8,8
8,8,8
9,9,9
9,9,9
10,10,10
12,12,12
14,14,14
18,18,18
23,23,23
30,30,30
39,39,39
43,43,43
46,46,46
48,48,48
52,52,52
60,60,60
65,65,65
72,72,72
83,83,83
94,94,94
99,99,99
109,109,109
115,115,115
105,105,105
94,94,94
81,81,81
61,61,61
43,43,43
30,30,30
23,23,23
18,18,18
16,16,16
14,14,14
12,12,12
12,12,12
12,12,12
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
18,18,18
19,19,19
18,18,18
20,20,20
20,20,20
18,18,18
17,17,17
16,16,16
17,17,17
18,18,18
18,18,18
18,18,18
16,16,16
17,17,17
16,16,16
14,14,14
13,13,13
13,13,13
12,12,12
13,13,13
12,12,12
12,12,12
13,13,13
15,15,15
17,17,17
19,19,19
23,23,23
29,29,29
38,38,38
43,43,43
48,48,48
57,57,57
67,67,67
79,79,79
84,84,84
91,91,91
97,97,97
108,108,108
111,111,111
112,112,112
100,100,100
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7,7,7
11,11,11
13,13,13
12,12,12
11,11,11
9,9,9
8,8,8
7,7,7
7,7,7
7,7,7
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
5,5,5
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
11,11,11
15,15,15
18,18,18
21,21,21
23,23,23
23,23,23
23,23,23
23,23,23
23,23,23
24,24,24
26,26,26
23,23,23
21,21,21
20,20,20
18,18,18
16,16,16
12,12,12
8,8,8
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
7,7,7
8,8,8
9,9,9
10,10,10
13,13,13
12,12,12
11,11,11
11,11,11
11,11,11
13,13,13
11,11,11
12,12,12
13,13,13
10,10,10
10,10,10
10,10,10
9,9,9
8,8,8
7,7,7
8,8,8
8,8,8
9,9,9
11,11,11
13,13,13
17,17,17
20,20,20
27,27,27
35,35,35
39,39,39
45,45,45
45,45,45
50,50,50
57,57,57
63,63,63
67,67,67
74,74,74
82,82,82
86,86,86
86,86,86
88,88,88
84,84,84
80,80,80
69,69,69
51,51,51
38,38,38
28,28,28
22,22,22
19,19,19
16,16,16
14,14,14
12,12,12
13,13,13
13,13,13
16,16,16
15,15,15
17,17,17
20,20,20
21,21,21
24,24,24
24,24,24
28,28,28
28,28,28
28,28,28
23,23,23
23,23,23
24,24,24
24,24,24
26,26,26
25,25,25
22,22,22
21,21,21
19,19,19
18,18,18
17,17,17
16,16,16
15,15,15
14,14,14
13,13,13
13,13,13
13,13,13
14,14,14
16,16,16
18,18,18
19,19,19
24,24,24
31,31,31
37,37,37
45,45,45
53,53,53
60,60,60
66,66,66
76,76,76
82,82,82
89,89,89
100,100,100
108,108,108
110,110,110
110,110,110
101,101,101
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
6,6,6
6,6,6
7,7,7
7,7,7
9,9,9
9,9,9
8,8,8
8,8,8
7,7,7
7,7,7
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
5,5,5
6,6,6
7,7,7
8,8,8
10,10,10
14,14,14
18,18,18
21,21,21
22,22,22
22,22,22
22,22,22
22,22,22
23,23,23
25,25,25
27,27,27
24,24,24
20,20,20
20,20,20
18,18,18
14,14,14
10,10,10
8,8,8
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
7,7,7
8,8,8
8,8,8
9,9,9
10,10,10
10,10,10
11,11,11
11,11,11
11,11,11
10,10,10
10,10,10
10,10,10
10,10,10
9,9,9
9,9,9
8,8,8
8,8,8
7,7,7
8,8,8
8,8,8
9,9,9
11,11,11
11,11,11
16,16,16
19,19,19
25,25,25
31,31,31
35,35,35
42,42,42
46,46,46
52,52,52
58,58,58
61,61,61
62,62,62
65,65,65
71,71,71
80,80,80
82,82,82
75,75,75
69,69,69
62,62,62
53,53,53
41,41,41
33,33,33
26,26,26
21,21,21
18,18,18
16,16,16
15,15,15
13,13,13
13,13,13
16,16,16
18,18,18
24,24,24
28,28,28
29,29,29
31,31,31
33,33,33
31,31,31
31,31,31
31,31,31
32,32,32
28,28,28
29,29,29
34,34,34
40,40,40
41,41,41
34,34,34
29,29,29
28,28,28
28,28,28
24,24,24
21,21,21
19,19,19
16,16,16
16,16,16
14,14,14
13,13,13
14,14,14
15,15,15
15,15,15
17,17,17
21,21,21
25,25,25
30,30,30
38,38,38
46,46,46
53,53,53
64,64,64
68,68,68
76,76,76
80,80,80
85,85,85
94,94,94
104,104,104
104,104,104
100,100,100
89,89,89
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
4,4,4
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
10,10,10
13,13,13
17,17,17
19,19,19
20,20,20
20,20,20
21,21,21
21,21,21
22,22,22
21,21,21
23,23,23
21,21,21
20,20,20
18,18,18
18,18,18
13,13,13
9,9,9
7,7,7
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
7,7,7
8,8,8
8,8,8
9,9,9
10,10,10
11,11,11
11,11,11
11,11,11
10,10,10
9,9,9
9,9,9
8,8,8
8,8,8
7,7,7
7,7,7
7,7,7
7,7,7
8,8,8
8,8,8
10,10,10
12,12,12
14,14,14
18,18,18
22,22,22
27,27,27
31,31,31
37,37,37
43,43,43
52,52,52
59,59,59
61,61,61
64,64,64
64,64,64
66,66,66
70,70,70
68,68,68
63,63,63
59,59,59
53,53,53
45,45,45
38,38,38
30,30,30
25,25,25
21,21,21
17,17,17
16,16,16
15,15,15
14,14,14
15,15,15
19,19,19
28,28,28
37,37,37
37,37,37
40,40,40
43,43,43
41,41,41
40,40,40
35,35,35
32,32,32
28,28,28
29,29,29
29,29,29
35,35,35
45,45,45
49,49,49
45,45,45
39,39,39
34,34,34
35,35,35
35,35,35
31,31,31
27,27,27
23,23,23
19,19,19
17,17,17
15,15,15
15,15,15
16,16,16
16,16,16
19,19,19
21,21,21
25,25,25
32,32,32
42,42,42
46,46,46
56,56,56
64,64,64
70,70,70
79,79,79
81,81,81
86,86,86
92,92,92
92,92,92
93,93,93
83,83,83
81,81,81
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
5,5,5
6,6,6
6,6,6
6,6,6
7,7,7
11,11,11
10,10,10
12,12,12
15,15,15
17,17,17
19,19,19
20,20,20
20,20,20
21,21,21
21,21,21
20,20,20
20,20,20
20,20,20
19,19,19
18,18,18
17,17,17
12,12,12
10,10,10
7,7,7
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
7,7,7
7,7,7
8,8,8
10,10,10
11,11,11
12,12,12
11,11,11
10,10,10
9,9,9
9,9,9
8,8,8
8,8,8
7,7,7
8,8,8
8,8,8
7,7,7
7,7,7
8,8,8
8,8,8
9,9,9
11,11,11
12,12,12
14,14,14
18,18,18
22,22,22
28,28,28
36,36,36
45,45,45
49,49,49
56,56,56
55,55,55
60,60,60
60,60,60
61,61,61
62,62,62
65,65,65
55,55,55
53,53,53
47,47,47
42,42,42
35,35,35
28,28,28
22,22,22
19,19,19
17,17,17
16,16,16
15,15,15
14,14,14
18,18,18
26,26,26
34,34,34
39,39,39
44,44,44
49,49,49
51,51,51
47,47,47
45,45,45
39,39,39
30,30,30
32,32,32
30,30,30
29,29,29
33,33,33
40,40,40
46,46,46
49,49,49
46,46,46
42,42,42
43,43,43
42,42,42
39,39,39
36,36,36
30,30,30
22,22,22
18,18,18
16,16,16
15,15,15
16,16,16
17,17,17
18,18,18
20,20,20
26,26,26
33,33,33
42,42,42
49,49,49
54,54,54
61,61,61
71,71,71
79,79,79
80,80,80
83,83,83
87,87,87
89,89,89
85,85,85
81,81,81
77,77,77
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
6,6,6
5,5,5
5,5,5
7,7,7
8,8,8
8,8,8
9,9,9
12,12,12
13,13,13
16,16,16
18,18,18
18,18,18
17,17,17
18,18,18
17,17,17
18,18,18
18,18,18
17,17,17
16,16,16
15,15,15
11,11,11
8,8,8
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
8,8,8
9,9,9
11,11,11
12,12,12
11,11,11
10,10,10
9,9,9
8,8,8
8,8,8
8,8,8
9,9,9
7,7,7
7,7,7
7,7,7
7,7,7
8,8,8
7,7,7
8,8,8
9,9,9
11,11,11
13,13,13
15,15,15
19,19,19
25,25,25
33,33,33
42,42,42
45,45,45
46,46,46
51,51,51
56,56,56
59,59,59
61,61,61
60,60,60
54,54,54
45,45,45
40,40,40
37,37,37
32,32,32
29,29,29
23,23,23
19,19,19
18,18,18
16,16,16
15,15,15
15,15,15
15,15,15
22,22,22
33,33,33
40,40,40
46,46,46
50,50,50
54,54,54
51,51,51
52,52,52
47,47,47
38,38,38
34,34,34
30,30,30
30,30,30
28,28,28
31,31,31
35,35,35
41,41,41
46,46,46
45,45,45
45,45,45
46,46,46
48,48,48
45,45,45
41,41,41
35,35,35
27,27,27
20,20,20
17,17,17
16,16,16
15,15,15
17,17,17
18,18,18
20,20,20
26,26,26
35,35,35
44,44,44
45,45,45
54,54,54
61,61,61
70,70,70
76,76,76
76,76,76
83,83,83
82,82,82
81,81,81
80,80,80
76,76,76
76,76,76
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
